"vote_count","id","video","vote_average","title","popularity","poster_path","original_language","original_title","genre_ids","backdrop_path","adult","overview","release_date"
1978,159824,FALSE,6.7,"Hotel Transylvania 2",17.143355,"/5BGjNYVHWynVNIbo3eF6XhPeB1J.jpg","en","Hotel Transylvania 2","16, 35, 10751, 14","/h3t4zZPteUPqyDBrmz5Z2zzGM61.jpg",FALSE,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.","2015-09-21"
392,432068,FALSE,6.9,"C'est la vie!",17.128937,"/7RYuAoeIMzJuMjO0xVyu1Txig9O.jpg","fr","Le Sens de la fête","35","/gPEeWS0o3iVUZiFrU3WCt4cLf5o.jpg",FALSE,"Max is a battle-weary veteran of the wedding-planning racket. His latest — and last — gig is a hell of a fête, involving stuffy period costumes for the caterers, a vain, hyper- sensitive singer who thinks he's a Gallic James Brown, and a morose, micromanaging groom determined to make Max's night as miserable as possible. But what makes the affair too bitter to endure is that Max's colleague and ostensible girlfriend, Joisette, seems to have written him off, coolly going about her professional duties while openly flirting with a much younger server. It's going to be a very long night… especially once the groom's aerial serenade gets underway.","2017-10-04"
289,125509,FALSE,4.8,"Wrong Turn 5: Bloodlines",17.111426,"/olnVrUyoL2ntBBuipvXBecCbTBX.jpg","en","Wrong Turn 5: Bloodlines","27, 53","/euv2zu83YBRQDOjcsPy3vWkyO5n.jpg",FALSE,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students.","2012-10-23"
5775,190859,FALSE,7.4,"American Sniper",17.082868,"/svPHnYE7N5NAGO49dBmRhq0vDQ3.jpg","en","American Sniper","10752, 28","/7BhTIyySTmmqNaoguSPjZAVMoQG.jpg",FALSE,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.","2014-12-11"
1351,313297,FALSE,7.7,"Kubo and the Two Strings",17.078563,"/3Kr9CIIMcXTPlm6cdZ9y3QTe4Y7.jpg","en","Kubo and the Two Strings","16, 12, 10751","/ap3norxI7zbe1KUpU5rCyfhGikb.jpg",FALSE,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.","2016-08-18"
5379,920,FALSE,6.6,"Cars",17.073696,"/5damnMcRFKSjhCirgX3CMa88MBj.jpg","en","Cars","16, 12, 35, 10751","/a1MlbLBk5Sy6YvMbSuKfwGlDVlb.jpg",FALSE,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.","2006-06-08"
3138,277,FALSE,6.6,"Underworld",17.071521,"/rdkxl5iXdpVU188cL1LLG3sy6z4.jpg","en","Underworld","14, 28, 53","/cPhRPAJWK8BuuJqqf6PztzvOlnZ.jpg",FALSE,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.","2003-09-19"
2288,364,FALSE,6.7,"Batman Returns",17.057295,"/ifzddUhnsTf1h6guBUKBlDwuS1t.jpg","en","Batman Returns","28, 14","/reQewz6KndV7Js2mfLfaaX8Rj0T.jpg",FALSE,"Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.","1992-06-19"
1373,4256,FALSE,5.8,"Scary Movie 3",17.036457,"/jlzEF7sTseYDB9H5dN29YFZt5Na.jpg","en","Scary Movie 3","35","/n5vmQsgANMuALE5qyU3pdSB1nd1.jpg",FALSE,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.","2003-10-24"
5633,59967,FALSE,6.7,"Looper",17.019828,"/o4qXZMrZlfuTfwwNGMyTcx6p2uO.jpg","en","Looper","28, 53, 878","/vuHG8VlYnvw4gUKtS7GY5kZol69.jpg",FALSE,"In the futuristic action thriller Looper, time travel will be invented but it will be illegal and only available on the black market. When the mob wants to get rid of someone, they will send their target 30 years into the past where a looper, a hired gun, like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop, sending back Joe's future self for assassination.","2012-09-26"
4427,194,FALSE,7.9,"Amélie",17.00943,"/f0uorE7K7ggHfr8r7pUTOHWkOlE.jpg","fr","Le Fabuleux Destin d'Amélie Poulain","35, 10749","/nxhfenC1jb5EcTI5GYxqnjYZMId.jpg",FALSE,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?","2001-04-25"
1329,389015,FALSE,7.5,"I, Tonya",16.994107,"/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg","en","I, Tonya","18","/gXIuss4Ajlex0E6iJPjkSTR8Qip.jpg",FALSE,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the sport is thrown into doubt when her ex-husband intervenes.","2017-11-27"
2528,270303,FALSE,6.5,"It Follows",16.973774,"/4MrwJZr0R9LbyOgZqwLNmtzzxbu.jpg","en","It Follows","27, 53","/nwQgcgGVrKyjlxNzaDZud82pUly.jpg",FALSE,"For 19-year-old Jay, fall should be about school, boys and weekends out at the lake. But a seemingly innocent physical encounter turns sour and gives her the inescapable sense that someone, or something, is following her. Faced with this burden, Jay and her teenage friends must find a way to escape the horror that seems to be only a few steps behind.","2014-11-13"
6352,1271,FALSE,7,"300",16.97075,"/bYR8O1H1ZlME7Dm9ysfTYZnRDpw.jpg","en","300","28, 12, 10752","/oHOTQkTYgDuoCYMaBEzuB9DqguX.jpg",FALSE,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","2006-12-09"
8,497814,FALSE,5.7,"Breaking In",16.939106,"/bKH7H4f5LPBQ5KOmHPcYtxCo7Od.jpg","en","Breaking In","53","/aEitmeLoFACS2hUEJSo1cDyWosn.jpg",FALSE,"A woman fights to protect her family during a home invasion at a house designed with impenetrable security.","2018-05-05"
3143,7191,FALSE,6.5,"Cloverfield",16.937907,"/as01o40tJ2FhtheqeXf7bVZ0EQO.jpg","en","Cloverfield","28, 53, 878","/6kVVfNT0auG6fU5SFQ1zbayNWUC.jpg",FALSE,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.","2008-01-15"
0,496891,FALSE,0,"Girls und Panzer das Finale: Part II",16.936935,NA,"ja","ガールズ＆パンツァー 最終章 第2話","28, 16, 35",NA,FALSE,"Part 2 of 6 for the final chapter of Girls und Panzer series.",""
4420,953,FALSE,6.6,"Madagascar",16.925788,"/2YiESGB68BGQSAFvfJxBi774sc4.jpg","en","Madagascar","10751, 16","/wUetiqu2EFhHW94yTP0pWABfyUG.jpg",FALSE,"Alex the lion is the king of the urban jungle, the main attraction at New York's Central Park Zoo. He and his best friends -- Marty the zebra, Melman the giraffe and Gloria the hippo -- have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape -- with the help of some prodigious penguins -- to explore the world.","2005-05-25"
485,218043,FALSE,3.8,"Left Behind",16.920341,"/lWf8po2lGleVuzRB4lpHavVT1Lv.jpg","en","Left Behind","53, 28, 878","/oUZn1QXB7FTqMBnM7GdqK5PFNzn.jpg",FALSE,"A small group of survivors are left behind after millions of people suddenly vanish during the rapture and the world is plunged into chaos and destruction.","2014-10-03"
563,891,FALSE,7.7,"All the President's Men",16.910216,"/ruURnC7qLRtSnTV1vygcoEPzeYK.jpg","en","All the President's Men","18, 36, 9648, 53","/7nwfodS5en7Pysxc0ayrhLMUOAc.jpg",FALSE,"In the run-up to the 1972 elections, Washington Post reporter Bob Woodward covers what seems to be a minor break-in at the Democratic Party National headquarters. He is surprised to find top lawyers already on the defense case, and the discovery of names and addresses of Republican fund organizers on the accused further arouses his suspicions. The editor of the Post is prepared to run with the story and assigns Woodward and Carl Bernstein to it. They find the trail leading higher and higher in the Republican Party, and eventually into the White House itself.","1976-04-04"
64,485942,FALSE,6.3,"Batman Ninja",16.91011,"/kZIrg87DiU1xKqCNcEV6LMfj3pS.jpg","ja","ニンジャバットマン","28, 16","/cDbJAqGIsnpJfiNiYNBQYQs0ZWY.jpg",FALSE,"«Batman Ninja» takes a journey across the ages as Gorilla Grodd's time displacement machine transports many of Batman's worst enemies to feudal Japan —along with the Dark Knight and a few of his allies. The villains take over the forms of the feudal lords that rule the divided land, with the Joker taking the lead among the warring factions. As his traditional high-tech weaponry is exhausted almost immediately, Batman must rely on his intellect and his allies —including Catwoman and the extended Bat-family— to restore order to the land, and return to present-day Gotham City.","2018-04-24"
3733,13183,FALSE,7.1,"Watchmen",16.904179,"/1QqwJBv5a6ddgzaT6cLytJioyrJ.jpg","en","Watchmen","28, 9648, 878","/ok6Ws65nDSLAIKkKgIjqyM5OGCc.jpg",FALSE,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered, an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.","2009-03-05"
1698,270946,FALSE,6.4,"Penguins of Madagascar",16.888357,"/pRer59eyY4rjkLPeKXKo7fPxCHH.jpg","en","Penguins of Madagascar","10751, 16, 12, 35","/fBYnaVOcc2Ghfkv473z0xdBRQ0m.jpg",FALSE,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.","2014-11-22"
4634,283366,FALSE,6.6,"Miss Peregrine's Home for Peculiar Children",16.878267,"/tzYkC0vqX8Dokuwynhz1lnWWgWT.jpg","en","Miss Peregrine's Home for Peculiar Children","18, 14, 12, 10751","/iiWLJMRaEjaBf4WFmKAktn0IfbF.jpg",FALSE,"A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.","2016-09-28"
117,459910,FALSE,6.1,"Braven",16.874689,"/253Bw5I3Zj3e2thCThjO7byEUCL.jpg","en","Braven","18, 28","/oTXIEUqVqGTtdpaNEaC8cJwDtfs.jpg",FALSE,"A logger defends his family from a group of dangerous drug runners.","2018-02-01"
2580,1572,FALSE,7,"Die Hard: With a Vengeance",16.86468,"/ivpXGcsPZglyYrN65THWSD7JM3q.jpg","en","Die Hard: With a Vengeance","28, 53","/aJCEQFFXNcfg5YneJzTG15qzxF7.jpg",FALSE,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.","1995-05-19"
3415,539,FALSE,8.3,"Psycho",16.857174,"/81d8oyEFgj7FlxJqSDXWr8JH8kV.jpg","en","Psycho","18, 27, 53","/3md49VBCeqY6MSNyAVY6d5eC6bA.jpg",FALSE,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower.","1960-06-16"
946,1103,FALSE,7,"Escape from New York",16.853082,"/m1xx0wtWXTL82VJmA1Y5DHndL3H.jpg","en","Escape from New York","878, 28","/iSi3OJKSPNknaxSvjpOa6c38Xgn.jpg",FALSE,"In 1997, the island of Manhattan has been walled off and turned into a giant maximum security prison within which the country's worst criminals are left to form their own anarchic society. However, when the President of the United States crash lands on the island, the authorities turn to a former soldier and current convict, Snake Plissken, to rescue him.","1981-05-22"
967,2976,FALSE,6.5,"Hairspray",16.826639,"/ndOpIx4BXpFCRRIxgMoGHxZxlE9.jpg","en","Hairspray","10751, 35, 10402, 10749","/vSlUzLJBPfEVfVHEPkG5imBaGwV.jpg",FALSE,"Pleasantly plump teenager, Tracy Turnblad and her best friend, Penny Pingleton audition to be on The Corny Collins Show – and Tracy wins. But when scheming Amber Von Tussle and her mother plot to destroy Tracy, it turns to chaos.","2007-07-13"
180,121734,FALSE,5.8,"Tad, the Lost Explorer",16.779334,"/bAY99D8aljc6byKNfF1WNiwJ32k.jpg","es","Las aventuras de Tadeo Jones","16, 35, 12, 10751","/iJZ1FleWX0gH9KbA4GLr4Nr5AZR.jpg",FALSE,"Tad is a celebrity archeologist and adventurer just like his hero Max Mordon... in his dreams! In reality, Tad is a Chicago construction worker. One day, however, he is mistaken for a real Professor and takes his place on a flight to Peru in search of the Lost City of Paititi. Professor Lavrof and his beautiful daughter Sara are waiting for the famous professor to crack the code. Unfortunately for Tad, Sara is engaged to real-life hero Max Mordon, but Max has secretly betrayed the Professor by teaming up with the evil Kopponen and his shady Odysseus corporation. Time for Tad to step up...","2012-07-04"
2116,8077,FALSE,6.3,"Alien³",16.775543,"/p7mUd9GpmCYV5qhkKGmiEerFK3i.jpg","en","Alien³","878, 28, 27","/nDPuIjpJyGDOnNEby5ZgkRBxymS.jpg",FALSE,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.","1992-05-22"
2377,170,FALSE,7.1,"28 Days Later",16.763749,"/xaYdxi1PBEAYvqknvAmMPK5Eff3.jpg","en","28 Days Later","27, 53, 878","/nESF8Tw4BYnDy8PUDkF5SLIlzTJ.jpg",FALSE,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.","2002-10-31"
313,8393,FALSE,7.1,"The Gods Must Be Crazy",16.756627,"/yvD2BWOEM5N4S4f6Yj8IVVjoKQO.jpg","en","The Gods Must Be Crazy","28, 35","/iVxo0Qy4FMIEF9LhBJtJwwvsuIU.jpg",FALSE,"Misery is brought to a small group of Sho in the Kalahari desert in the form of a cola bottle. In his quest to throw the evil object over the edge of the earth, Xixo encounters Western ""civilization,"" a haphazard doctor and a tyranical despot.","1980-09-10"
2019,325133,FALSE,5.7,"Neighbors 2: Sorority Rising",16.74343,"/bWUeJHbKIyT306WtJFRHoSzX9nk.jpg","en","Neighbors 2: Sorority Rising","35","/8HuO1RMDI3prfWDkF7t1y8EhLVO.jpg",FALSE,"A sorority moves in next door to the home of Mac and Kelly Radner who have a young child. The Radner's enlist their former nemeses from the fraternity to help battle the raucous sisters.","2016-05-04"
2455,11224,FALSE,6.8,"Cinderella",16.723481,"/cdf4J7tDhSPAghWWgx9EnwQWBfF.jpg","en","Cinderella","10751, 14, 16, 10749","/xSN1cpugrzi8DjpVxtHeRRlbB6Q.jpg",FALSE,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!","1950-03-04"
3,521647,FALSE,6.3,"Darc",16.697809,"/wJrijebKS7sNeYKwOTcpSBuPpJ6.jpg","en","Darc","28, 53","/YWH6exsrEjlJqtVkUHw3bnM4qK.jpg",FALSE,"To bring down a global human trafficking ring, an Interpol agent recruits the help of a brutal criminal with inside knowledge of the yakuza.","2018-05-01"
2991,324852,FALSE,6.3,"Despicable Me 3",16.696241,"/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg","en","Despicable Me 3","28, 16, 35, 10751","/ftRkFtAGuHngHnLiOxktq0aCVMF.jpg",FALSE,"Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.","2017-06-15"
5319,863,FALSE,7.4,"Toy Story 2",16.690117,"/3CmK3XurcLeUyMifCR28ibzupbB.jpg","en","Toy Story 2","16, 35, 10751","/9Kjxr4VCU0Y4DAuXkzR2moAy7DK.jpg",FALSE,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.","1999-10-30"
0,518801,FALSE,0,"McKellen: Playing the Part",16.684269,"/yPvnDvdXE0EasrtAPCgFZb3H7yZ.jpg","en","McKellen: Playing the Part","99, 36",NA,FALSE,"Built upon a 14 hour interview, McKellen: Playing the Part is a unique journey through the key landmarks of McKellen's life, from early childhood into a demanding career that placed him in the public eye for the best part of his lifetime. Using an abundance of photography from McKellen's private albums and cinematically reconstructed scenes, a raw talent shines through in the intensity, variety and devotion to that moment in the light.","2018-05-27"
7966,18785,FALSE,7.2,"The Hangover",16.681968,"/uluhlXubGu1VxU63X9VHCLWDAYP.jpg","en","The Hangover","35","/39LohvXfll5dGCQIV9B9VJ16ImE.jpg",FALSE,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.","2009-06-02"
623,668,FALSE,6.5,"On Her Majesty's Secret Service",16.665671,"/7mcqT56ES5U3wg26vQQuEnOaFSj.jpg","en","On Her Majesty's Secret Service","12, 28, 53","/gUwxuUvT7XZBx32c66EhXOSZMyM.jpg",FALSE,"James Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way, Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile, he locates Blofeld in the Alps and embarks on a classic ski chase.","1969-12-12"
3918,489,FALSE,7.9,"Good Will Hunting",16.632735,"/jq8LjngZ7XZEQge5JFTdOGMrHyZ.jpg","en","Good Will Hunting","18","/8vA6dxBzRqSajvqdmTLtoguAa3T.jpg",FALSE,"Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.","1997-12-05"
2962,395992,FALSE,6.3,"Life",16.623486,"/h2mhfbEBGABSHo2vXG1ECMKAJa7.jpg","en","Life","27, 878, 53, 18","/hES8wGmkxHa54z7hqUMpw5TIs09.jpg",FALSE,"The six-member crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent than ever expected.","2017-03-22"
1348,153518,FALSE,6,"The Angry Birds Movie",16.594137,"/t2mZzQXjpQxmqtJOPpe8Dr2YpMl.jpg","en","The Angry Birds Movie","16","/k15COpeexV5Ad0tuLjBW2jQFoOz.jpg",FALSE,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.","2016-05-11"
1389,10661,FALSE,5.4,"You Don't Mess with the Zohan",16.527408,"/3n9FYKLJVqwrZ7Wf96eoF2cAowU.jpg","en","You Don't Mess with the Zohan","35, 28","/5WVCXiuJPMsRbRFRsH7khHszswF.jpg",FALSE,"An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.","2008-06-05"
272,416234,FALSE,6,"Winchester",16.526319,"/tHDtskokZeO9B3JBdR1dSH0uqad.jpg","en","Winchester","14, 9648, 53, 27","/d4wnMDSrQonB9iArMzd90WqaoJ4.jpg",FALSE,"Firearm heiress Sarah Winchester is convinced that she is haunted by the souls killed at the hands of the Winchester repeating rifle. After the sudden deaths of her husband and child, she throws herself into the construction of an enormous mansion designed to keep the evil spirits at bay. But when skeptical a San Francisco psychiatrist is dispatched to the estate to evaluate her state of mind, he discovers that her obsession may not be so insane after all.","2018-02-02"
6070,14161,FALSE,5.6,"2012",16.511532,"/zaqam2RNscH5ooYFWInV6hjx6y5.jpg","en","2012","28, 12, 878","/ywxrdkfbr8Dg3SBW2gi4kC59qOb.jpg",FALSE,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","2009-10-10"
1688,277216,FALSE,7.7,"Straight Outta Compton",16.492844,"/X7S1RtotXOZNV7OlgCfh5VKZSB.jpg","en","Straight Outta Compton","18, 10402","/fdDTA06o5e7MRXnTGAf4EygL2MJ.jpg",FALSE,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.","2015-08-13"
2309,105864,FALSE,6.7,"The Good Dinosaur",16.474747,"/2ZckiMTfSkCep2JTtZbr73tnQbN.jpg","en","The Good Dinosaur","12, 16, 10751","/pDuD96Fz0ZZXf9buEvRu1UQsmFT.jpg",FALSE,"An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.","2015-11-14"
2826,163,FALSE,6.4,"Ocean's Twelve",16.461522,"/nS3iDLQuy13XY1JH58NNl1rCuNN.jpg","en","Ocean's Twelve","53, 80","/lrqu38m0KcEqcihEy9eHjaFD4DF.jpg",FALSE,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.","2004-12-09"
2765,106,FALSE,7.3,"Predator",16.449479,"/p6fhq04t75yCfE0kSTNZGQvWuQ1.jpg","en","Predator","878, 28, 12, 53","/ib247UzpzFwZp5XW2RZtwSHqLf0.jpg",FALSE,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.","1987-06-12"
1283,938,FALSE,7.9,"For a Few Dollars More",16.448097,"/o4y1dlqXFETChi1QW2TspfrCJ8e.jpg","it","Per qualche dollaro in più","37","/hs6OPto38fF589ScpGhl7uSU4MI.jpg",FALSE,"Two bounty hunters are in pursuit of ""El Indio,"" one of the most wanted fugitives in the western territories, and his gang.","1965-12-18"
2166,242,FALSE,7.2,"The Godfather: Part III",16.420772,"/1hdm3Axw9LjITbApvAXBbqO58zE.jpg","en","The Godfather: Part III","80, 18, 53","/mhdJ2rOK3JGnceqxNK9WufYmFr7.jpg",FALSE,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.","1990-12-24"
7271,49047,FALSE,7.2,"Gravity",16.419755,"/uPxtxhB2Fy9ihVqtBtNGHmknJqV.jpg","en","Gravity","878, 53, 18","/9aoWzwOwy9NLuSk9LkBwwrBdPYM.jpg",FALSE,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.","2013-09-27"
3299,82675,FALSE,6.1,"Taken 2",16.410888,"/rDX2zd9aVMJnBmlS8efwOYsi76R.jpg","en","Taken 2","28, 80, 53","/uLQjXZq6307jTgcACnhOeh5mCK2.jpg",FALSE,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.","2012-09-27"
1958,353491,FALSE,5.6,"The Dark Tower",16.405757,"/i9GUSgddIqrroubiLsvvMRYyRy0.jpg","en","The Dark Tower","28, 14, 878, 37, 27","/pVVobDO8cezhVPvwD6EBUN0g3mt.jpg",FALSE,"The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O’Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.","2017-08-03"
2064,184315,FALSE,5.6,"Hercules",16.384657,"/wGAWxOnVjwXqvoiKX7Pf6XOWnPJ.jpg","en","Hercules","28, 12","/pNPdcgHT1FpCmauzFWepyfDvDo9.jpg",FALSE,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.","2014-07-23"
481,334074,FALSE,5.4,"Survivor",16.376685,"/XtvR1aSph7X3wqrE2PY66IPzVi.jpg","en","Survivor","53","/tGxBYYSKSmBUpjSHDpRelsbNeBy.jpg",FALSE,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.","2015-05-21"
3,469691,FALSE,6,"Bar Boys",16.375734,"/fmdrm9B0LKmOrNqqIcbR8aMkC8P.jpg","tl","Bar Boys","35, 18","/g5msoa2He4jbu5k3HLa0hhkVL0W.jpg",FALSE,"The misadventures of three young men who try their luck in the college of law. As their friendship, families, relationships and convictions are brought to breaking point, they must keep their heads and emotions together as they prepare for the big day.","2017-08-16"
